Any,Tipus d'universitat,Universitat,Tipus de centre,Nacionalitat,Sexe,Nombre de personal docent investigador  permanent en equivalent a temps complet a 31 de desembre
2023,PÚBLICA,UB,Adscrit,Espanyols,DONA,"57,5"
2023,PÚBLICA,UB,Adscrit,Espanyols,HOME,"50,3"
2023,PÚBLICA,UB,Adscrit,Estrangers,DONA,"4,4"
2023,PÚBLICA,UB,Adscrit,Estrangers,HOME,1
2023,PÚBLICA,UB,Integrat,Espanyols,DONA,"861,7"
2023,PÚBLICA,UB,Integrat,Espanyols,HOME,"1.006,4"
2023,PÚBLICA,UB,Integrat,Estrangers,DONA,21
2023,PÚBLICA,UB,Integrat,Estrangers,HOME,"39,3"
2023,PÚBLICA,UAB,Adscrit,Espanyols,DONA,125
2023,PÚBLICA,UAB,Adscrit,Espanyols,HOME,"90,6"
2023,PÚBLICA,UAB,Adscrit,Estrangers,DONA,"6,3"
2023,PÚBLICA,UAB,Adscrit,Estrangers,HOME,"5,3"
2023,PÚBLICA,UAB,Integrat,Espanyols,DONA,489
2023,PÚBLICA,UAB,Integrat,Espanyols,HOME,"687,9"
2023,PÚBLICA,UAB,Integrat,Estrangers,DONA,"20,1"
2023,PÚBLICA,UAB,Integrat,Estrangers,HOME,"28,4"
2023,PÚBLICA,UPC,Adscrit,Espanyols,DONA,"19,6"
2023,PÚBLICA,UPC,Adscrit,Espanyols,HOME,"18,9"
2023,PÚBLICA,UPC,Adscrit,Estrangers,DONA,4
2023,PÚBLICA,UPC,Adscrit,Estrangers,HOME,"5,5"
2023,PÚBLICA,UPC,Integrat,Espanyols,DONA,"322,5"
2023,PÚBLICA,UPC,Integrat,Espanyols,HOME,"946,8"
2023,PÚBLICA,UPC,Integrat,Estrangers,DONA,10
2023,PÚBLICA,UPC,Integrat,Estrangers,HOME,40
2023,PÚBLICA,UPF,Adscrit,Espanyols,DONA,"53,4"
2023,PÚBLICA,UPF,Adscrit,Espanyols,HOME,"74,8"
2023,PÚBLICA,UPF,Adscrit,Estrangers,DONA,"10,1"
2023,PÚBLICA,UPF,Adscrit,Estrangers,HOME,8
2023,PÚBLICA,UPF,Integrat,Espanyols,DONA,"111,8"
2023,PÚBLICA,UPF,Integrat,Espanyols,HOME,"189,1"
2023,PÚBLICA,UPF,Integrat,Estrangers,DONA,"4,6"
2023,PÚBLICA,UPF,Integrat,Estrangers,HOME,"28,5"
2023,PÚBLICA,UdG,Adscrit,Espanyols,DONA,"25,6"
2023,PÚBLICA,UdG,Adscrit,Espanyols,HOME,"30,2"
2023,PÚBLICA,UdG,Adscrit,Estrangers,DONA,"5,6"
2023,PÚBLICA,UdG,Adscrit,Estrangers,HOME,"4,7"
2023,PÚBLICA,UdG,Integrat,Espanyols,DONA,"183,3"
2023,PÚBLICA,UdG,Integrat,Espanyols,HOME,"264,4"
2023,PÚBLICA,UdG,Integrat,Estrangers,DONA,5
2023,PÚBLICA,UdG,Integrat,Estrangers,HOME,4
2023,PÚBLICA,UdL,Adscrit,Espanyols,DONA,7
2023,PÚBLICA,UdL,Adscrit,Espanyols,HOME,"22,7"
2023,PÚBLICA,UdL,Adscrit,Estrangers,DONA,"2,1"
2023,PÚBLICA,UdL,Adscrit,Estrangers,HOME,"3,1"
2023,PÚBLICA,UdL,Integrat,Espanyols,DONA,"174,5"
2023,PÚBLICA,UdL,Integrat,Espanyols,HOME,244
2023,PÚBLICA,UdL,Integrat,Estrangers,DONA,2
2023,PÚBLICA,UdL,Integrat,Estrangers,HOME,3
2023,PÚBLICA,URV,Adscrit,Espanyols,DONA,"13,7"
2023,PÚBLICA,URV,Adscrit,Espanyols,HOME,38
2023,PÚBLICA,URV,Adscrit,Estrangers,DONA,"3,5"
2023,PÚBLICA,URV,Adscrit,Estrangers,HOME,"6,1"
2023,PÚBLICA,URV,Integrat,Espanyols,DONA,203
2023,PÚBLICA,URV,Integrat,Espanyols,HOME,"263,8"
2023,PÚBLICA,URV,Integrat,Estrangers,DONA,10
2023,PÚBLICA,URV,Integrat,Estrangers,HOME,19
2023,PÚBLICA,Total,Total,Total,Total,"6.880,3"
